numero,situacao,descricao,complemento,classificacao_contabil,localizacao_sistema,data_entrada,valor_compra,valor_atual,local_verificado,estado_conservacao,usuario,data_hora,usuario_bem,imagem,contagem
14651,ATIVO,AR CONDICIONADO,CASSETE HIDRÔNICO 40HK,MÁQUINAS E EQUIPAMENTOS,08 - SALA VP - VIGGE,31/03/2023,"10.505,09","10.505,09",08 - SALA VP - VIGGE,Bom,William de Araújo,2025-12-04 13:54:44,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/14651_1764856521.jpg,0
10369,ATIVO,SOFÁ,"SOFA 03 LUGARES, CORINO NA COR MARROM",MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - VP - FISCALIZAÇÃO,01/06/1996,"2.842,30","332,36",08 - VP - FISCALIZAÇÃO,Bom,William de Araújo,2025-12-04 13:17:27,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10369_1764854368.jpg,0
10782,ATIVO,TELEFONE,TELEFONE DIGITAL ALCATEL MODELO 4029 SERIAL H0500609432221,MÁQUINAS E EQUIPAMENTOS,08 - VP - FISCALIZAÇÃO,25/02/2008,"620,00","196,91",08 - VP - FISCALIZAÇÃO,Bom,William de Araújo,2025-12-04 13:18:29,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10782_1764854386.jpg,0
13049,BAIXADO,TELEFONE,TELEFONE DIGITAL ALCATEL MODELO 4029 SERIAL H0500609949957,MÁQUINAS E EQUIPAMENTOS,BAIXADOS EM 2021,25/02/2008,"620,00","0,00",,,,,,,1
10783,ATIVO,REFRIGERADOR,FRIGOBAR CONSUL 80 LITROS,UTENSÍLIOS DE COPA E COZINHA,08 - VP - FISCALIZAÇÃO,02/02/2004,"565,00","218,55",08 - VP - FISCALIZAÇÃO,Bom,William de Araújo,2025-12-04 13:18:29,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10783_1764854444.jpg,0
10785,ATIVO,MESA,MESA DE MADEIRA C/TAMPO EM ACRILICO;SI;220X110X75;,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,08 - VP - FISCALIZAÇÃO,17/12/2009,"5.576,64","2.577,34",08 - VP - FISCALIZAÇÃO,Bom,William de Araújo,2025-12-04 13:18:29,,https://sga-inventario-fotos-2025.s3.us-east-2.amazonaws.com/fotos/10785_1764854470.jpg,0
13052,BAIXADO,CINZEIRO,CINZEIRO PAP PISO ACO INOX PRETO REF. 1241 ARTPLAN,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,,14/05/1999,"46,32","46,32",,,,,,,0
13053,BAIXADO,ESTANTE,ESTANTE DE ACO 6 PRATELEIRA MARCA AMAPA,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,BAIXADOS EM 2021,21/01/1994,"7.290,00","0,00",,,,,,,1
13054,BAIXADO,ESTANTE,ESTANTE DE ACO COM 6 PRATELEIRAS COR CINZA,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,BAIXADOS EM 2021,17/06/2004,"137,00","0,00",,,,,,,1
13055,BAIXADO,MESA,MESA EM MADEIRA PARA REFEICAO,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,,01/09/1996,"42,10","42,10",,,,,,,0
13056,BAIXADO,MESA,MESA EM MADEIRA PARA REFEICAO,MÓVEIS E UTENSÍLIOS DE ESCRITÓRIO,BAIXADOS EM 2021,01/09/1996,"42,10","0,00",,,,,,,1
